category,topics,I1,I2
anger,T0&T1,4,0.9999954523349197
anger,T0&T2,4,0.9999968811512502
anger,T1&T2,6,0.9999120343849001
fear,T0&T1,6,0.9999995093741335
fear,T0&T2,6,0.9868941579301028
fear,T1&T2,6,0.9993341584518898
joy,T0&T1,6,0.9998449142509144
joy,T0&T2,6,0.9990924945489978
joy,T1&T2,6,0.9992183316244002
love,T0&T1,4,0.9999988074629075
love,T0&T2,4,0.9998694868125115
love,T1&T2,6,0.9997913962385544
sadness,T0&T1,6,0.9998287321754233
sadness,T0&T2,6,0.999673713510982
sadness,T1&T2,6,0.9998418276642941
surprise,T0&T1,6,0.999998258831885
surprise,T0&T2,6,0.9999028715427272
surprise,T1&T2,8,0.99984745647909
