category,topics,I1,I2
anger,T0&T1,3,0.9999992196826472
anger,T0&T2,3,0.9999991967045871
anger,T1&T2,3,0.9993371166862538
fear,T0&T1,3,0.9999963555121247
fear,T0&T2,3,0.9999970930134237
fear,T1&T2,3,0.9993597838982785
joy,T0&T1,3,0.9999995699140408
joy,T0&T2,3,0.9999996133838066
joy,T1&T2,3,0.9993758794555564
love,T0&T1,4,0.9999958875667546
love,T0&T2,3,0.9999937963746174
love,T1&T2,3,0.9994699020665923
sadness,T0&T1,2,0.9999984687474972
sadness,T0&T2,2,0.9999991210349077
sadness,T1&T2,4,0.9992020422837723
surprise,T0&T1,3,0.9972934029435514
surprise,T0&T2,3,0.9975069510396307
surprise,T1&T2,3,0.9977402847336375
